,year,avg_temp,MA10,MA25,avg_temp_f,MA10_F,MA25_F
56,1799,13.5319512195122,,,56.35751219512198,,
57,1800,13.943032786885249,,,57.097459016393444,,
58,1801,14.291393442622955,,,57.72450819672133,,
59,1802,14.560409836065576,,,58.20873770491802,,
60,1803,14.149677419354838,,,57.4694193548387,,
61,1804,14.39209677419355,,,57.905774193548424,,
62,1805,13.608016528925623,,,56.49442975206608,,
63,1806,13.991750000000007,,,57.18515000000001,,
64,1807,13.771404958677689,,,56.78852892561983,,
65,1808,10.027450980392157,,,50.049411764705866,,
66,1809,10.01078431372549,,,50.01941176470585,,
67,1810,10.164705882352946,,,50.296470588235294,,
68,1811,10.765288461538463,,,51.377519230769245,,
69,1812,9.268962264150943,,,48.684132075471716,,
70,1813,12.995037593984955,,,55.39106766917296,,
71,1814,12.491119402985078,,,54.48401492537314,,
72,1815,12.39300751879699,,,54.3074135338346,,
73,1816,13.107062937062944,,,55.59271328671331,,
74,1817,13.24755244755244,,,55.84559440559442,,
75,1818,13.627638888888896,,,56.52975000000002,,
76,1819,13.522413793103446,,,56.340344827586165,,
77,1820,13.004761904761898,,,55.408571428571435,,
78,1821,13.514670658682645,,,56.32640718562875,,
79,1822,14.086347305389205,,,57.35542514970059,,
80,1823,13.477964071856286,,,56.26033532934129,,
81,1824,14.512634730538931,,,58.12274251497005,,
82,1825,15.308351648351644,,,59.555032967032986,,
83,1826,14.615086705202321,,,58.307156069364176,,
84,1827,14.80122093023256,,,58.642197674418576,,
85,1828,14.448000000000008,,,58.00640000000003,,
86,1829,13.581611111111117,,,56.44690000000001,,
87,1830,13.684268292682926,,,56.63168292682926,,
88,1831,12.928666666666665,,,55.271600000000035,,
89,1832,13.13615384615385,,,55.645076923076935,,
90,1833,13.731223404255323,,,56.716202127659585,,
91,1834,14.151204188481671,,,57.47216753926702,,
92,1835,13.439800995024871,,,56.19164179104482,,
93,1836,13.629899497487441,,,56.533819095477355,,
94,1837,13.798725490196084,,,56.837705882352964,,
95,1838,13.94974999999999,,,57.10954999999999,,
96,1839,14.167941176470583,,,57.50229411764709,,
97,1840,14.523080357142863,,,58.14154464285714,,
98,1841,14.659020408163268,,,58.38623673469391,,
99,1842,14.667916666666658,,,58.402249999999974,,
100,1843,14.887246963562765,,,58.79704453441289,,
101,1844,14.254789915966395,,,57.6586218487395,,
102,1845,14.768514056224895,,,58.583325301204816,,
103,1846,15.40904166666666,,,59.736275000000056,,
